year,region,wine,beer,vodka,champagne,brandy,cartodb_id,birth_rate,death_rate,urbanization,population
1998,Адыгея,1.9,8.8,3.4,0.3,0.1,37,9.6,13.9,53.05,463.17
1998,Алтайский край,3.3,19.2,11.3,1.1,0.1,17,8.8,12.8,52.76,2296.35
1998,Амурская область,2.1,21.2,17.3,0.7,0.4,81,10.4,12.2,66.07,781.85
1998,Архангельская область,4.3,10.6,11.7,0.4,0.3,2,9.1,13.3,74.3,1082.66
1998,Астраханская область,2.9,18.0,9.5,0.8,0.2,33,9.6,13.3,68.13,997.78
1998,Башкортостан,1.8,17.5,10.7,0.9,0.2,61,10.8,11.8,63.95,4013.79
1998,Белгородская область,3.4,23.0,10.8,0.9,0.1,26,8.0,14.3,64.82,1541.26
1998,Брянская область,3.4,32.4,9.7,0.5,0.1,27,8.2,16.5,68.14,1182.68
1998,Бурятия,1.1,8.8,15.8,0.9,0.1,10,11.6,11.3,59.84,985.43
1998,Владимирская область,1.5,16.6,16.8,0.5,0.1,22,7.5,16.1,79.74,1342.1
1998,Волгоградская область,2.9,27.9,12.9,1.5,0.3,29,8.2,14.1,74.79,2474.56
1998,Вологодская область,3.9,23.7,19.3,0.6,0.3,55,8.4,14.6,68.59,1151.04
1998,Воронежская область,1.3,19.0,14.2,1.2,0.1,15,7.5,16.1,61.43,2792.8
1998,Дагестан,4.8,3.8,2.0,0.5,0.3,14,17.4,6.7,43.4,3133.3
1998,Еврейская автономная область,2.3,11.6,11.5,0.5,0.2,80,10.2,11.9,66.93,156.5
1998,Забайкальский край,0.9,8.6,5.0,0.2,0.1,9,12.3,12.1,63.79,1053.49
1998,Ивановская область,1.4,20.7,16.1,0.1,0.04,57,7.2,17.9,82.35,987.03
1998,Ингушетия,3.4,15.3,18.1,0.2,0.3,34,19.8,6.9,42.31,515.56
1998,Иркутская область,5.6,26.8,14.8,1.0,0.4,82,10.5,13.0,79.59,2375.02
1998,Кабардино-Балкарская республика,1.6,9.9,6.5,0.3,0.3,36,11.5,9.5,57.0,869.19
1998,Калининградская область,2.7,21.6,12.2,1.1,0.3,47,8.0,13.3,78.12,1018.62
1998,Калужская область,2.8,24.2,15.6,0.7,0.1,64,7.5,15.8,74.26,1000.98
1998,Камчатский край,6.4,25.5,25.1,0.8,0.4,8,9.8,9.6,80.63,311.67
1998,Карачаево-Черкесская республика,1.7,5.4,8.6,0.1,0.04,13,11.3,10.3,43.89,465.36
1998,Кемеровская область,3.6,25.6,16.8,1.1,0.4,78,8.7,14.4,86.61,2633.45
1998,Кировская область,2.0,12.4,12.8,0.4,0.1,52,8.2,14.6,70.79,1250.17
1998,Костромская область,1.7,25.8,17.9,1.2,0.1,53,8.0,16.8,66.07,628.42
1998,Краснодарский край,8.5,18.3,8.7,1.0,0.3,39,8.8,14.0,53.82,5683.95
1998,Красноярский край,3.7,25.0,14.1,0.9,0.3,69,9.5,13.2,74.83,2855.9
1998,Курганская область,3.8,20.1,15.1,1.2,0.2,1,9.3,14.1,56.16,818.57
1998,Курская область,1.5,22.9,4.4,0.7,0.1,5,8.2,16.8,59.96,1096.49
1998,Ленинградская область,2.3,15.0,13.9,0.5,0.2,46,6.8,15.4,66.22,5384.34
